[170] City changed because of Region: IN20; because of R387; Possession of Refrigerator; 1.63458531398087; 1.53939961704742; 26.46851622; 30.3029046702586; 21.46851622              
[171] City changed because of Region: IN53; because of R393; Possession of Refrigerator; 0.982638642453324; NA; 64.46851622; 28.0457043464439; 21.46851622                           
[172] City changed because of Region: IN38; because of R393; Possession of Refrigerator; 1.27063587239586; NA; 64.46851622; 28.0457043464439; 21.46851622                            
[173] City changed because of Region: IN35; because of R379; Possession of Colour TV Set; 1.29696038781815; 1.3487559871865; 68.57219936; 71.2046025117639; 64.57219936              
[174] City changed because of Region: IN30; because of R394; Possession of Refrigerator; 1.52001519201123; 1.75759427800574; 20.46851622; 18.9158992762835; 21.46851622              
[175] City changed because of Region: IN36; because of R396; Possession of Refrigerator; 0.990718188140863; 0.625105555895285; 21.46851622; 29.9677269001923; 21.46851622            
[176] City changed because of Region: IN43; because of R396; Possession of Refrigerator; 1.01175423394723; 1.05225542907868; 21.46851622; 29.9677269001923; 21.46851622              
[177] City changed because of Region: IN24; because of R396; Possession of Refrigerator; 1.02428467572852; 1.22191420790015; 21.46851622; 29.9677269001923; 21.46851622              
[178] City changed because of Region: IN31; because of R398; Possession of Refrigerator; 2.11006381246133; 2.37502737979597; 9.46851622; 10.4742569645486; 21.46851622               
[179] City changed because of Region: IN29; because of R398; Possession of Refrigerator; 1.64047927345976; 2.09498306835787; 9.46851622; 10.4742569645486; 21.46851622               
[180] City changed because of Region: IN44; because of R398; Possession of Refrigerator; 2.04534782836256; 2.30119628285675; 9.46851622; 10.4742569645486; 21.46851622               
[181] City changed because of Region: IN41; because of R398; Possession of Refrigerator; 1.44288089040998; 1.61449458580872; 9.46851622; 10.4742569645486; 21.46851622               
[182] City changed because of Region: IN55; because of R398; Possession of Refrigerator; 1.70978923738926; 2.15312843979438; 9.46851622; 10.4742569645486; 21.46851622               
[183] City changed because of Region: IN51; because of R398; Possession of Refrigerator; 0.925540759670973; 0.861744704149699; 9.46851622; 10.4742569645486; 21.46851622             
[184] City changed because of Region: IN26; because of R379; Possession of Colour TV Set; 1.28038214808825; 1.33744706738446; 68.57219936; 71.2046025117639; 64.57219936             
[185] City changed because of Region: IN42; because of R398; Possession of Refrigerator; 1.14206950754542; 0.729931709189656; 9.46851622; 10.4742569645486; 21.46851622              
[186] City changed because of Region: IN23; because of R400; Possession of Refrigerator; 1.50003676513096; 1.47813289190197; 13.46851622; 18.2705983249523; 21.46851622              
[187] City changed because of Region: IN48; because of R400; Possession of Refrigerator; 1.37418293639202; 1.2100243293595; 13.46851622; 18.2705983249523; 21.46851622               
[188] City changed because of Region: IN40; because of R371; Possession of Air Conditioner; 1.75338189390004; 2.06490984747888; 16.04908339; 13.4278437854988; 12.04908339           
